model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,significant_05,label
any_unit_fe_scooter_only,ols_cluster,unit_fe,log_trip_count_day,platform_any:competition_z,-0.2354979922828004,0.1370093767898123,0.0856424528620632,-0.5040314363351105,0.0330354517695097,11149,75,30,0.9739279958599387,False,Any platform:Competition
any_unit_fe_scooter_only,ols_cluster,unit_fe,log_trip_count_day,unlock_fee_z:platform_any:competition_z,0.7330907671493737,0.284732655751703,0.010033766007131848,0.17502501665359438,1.291156517645153,11149,75,30,0.9739279958599387,True,Unlock fee:Any platform:Competition
any_unit_fe_scooter_only,ols_cluster,unit_fe,log_trip_count_day,price_per_minute_z:platform_any,-0.24943831398337038,0.444884015746346,0.5750145634505855,-1.1213949621437589,0.6225183341770181,11149,75,30,0.9739279958599387,False,Price/min:Any platform
any_unit_fe_scooter_only,ols_cluster,unit_fe,log_trip_count_day,price_per_minute_z:competition_z,0.0016397504123839136,0.3089702958758356,0.9957655301710202,-0.6039309017969382,0.6072104026217061,11149,75,30,0.9739279958599387,False,Price/min:Competition
any_unit_fe_scooter_only,ols_cluster,unit_fe,log_trip_count_day,price_per_minute_z:platform_any:competition_z,-0.699052285016003,0.5820368952329946,0.2297338911837955,-1.8398236373461851,0.4417190673141791,11149,75,30,0.9739279958599387,False,Price/min:Any platform:Competition
type_unit_fe_scooter_only,ols_cluster,unit_fe,log_trip_count_day,unlock_fee_z:large_only,0.31695861210033804,0.19751653773111197,0.10855557928974074,-0.0701666882036881,0.7040839124043642,11149,75,30,0.9740114414602802,False,Unlock fee:FreeNow only
type_unit_fe_scooter_only,ols_cluster,unit_fe,log_trip_count_day,unlock_fee_z:competition_z,-0.37104742841716026,0.1114749361354936,0.0008730627854675147,-0.5895342884216304,-0.15256056841269017,11149,75,30,0.9740114414602802,True,Unlock fee:Competition
type_unit_fe_scooter_only,ols_cluster,unit_fe,log_trip_count_day,large_only:competition_z,-0.23520793845973564,0.13705737633268605,0.08613870115909965,-0.5038354598873527,0.03341958296788139,11149,75,30,0.9740114414602802,False,FreeNow only:Competition
type_unit_fe_scooter_only,ols_cluster,unit_fe,log_trip_count_day,unlock_fee_z:large_only:competition_z,0.73328556719202,0.28482333681784067,0.010037705177356556,0.17504208507253116,1.2915290493115088,11149,75,30,0.9740114414602802,True,Unlock fee:FreeNow only:Competition
type_unit_fe_scooter_only,ols_cluster,unit_fe,log_trip_count_day,price_per_minute_z:large_only,-0.2498325944950226,0.444761967952687,0.5743054238314433,-1.121550033375447,0.6218848443854017,11149,75,30,0.9740114414602802,False,Price/min:FreeNow only
type_unit_fe_scooter_only,ols_cluster,unit_fe,log_trip_count_day,price_per_minute_z:competition_z,-0.2796523609116572,0.159673771722186,0.07987733795817034,-0.5926072027628119,0.0333024809394975,11149,75,30,0.9740114414602802,False,Price/min:Competition
type_unit_fe_scooter_only,ols_cluster,unit_fe,log_trip_count_day,price_per_minute_z:large_only:competition_z,-0.6998004724882737,0.5818885547558313,0.22911697830056377,-1.8402810828257663,0.440680137849219,11149,75,30,0.9740114414602802,False,Price/min:FreeNow only:Competition
type_unit_fe_scooter_only,ols_cluster,unit_fe,log_trip_count_day,unlock_fee_z:local_only,1.3653619058577244,0.7220851487042544,0.058643038650179016,-0.04989897937386356,2.7806227910893124,11149,75,30,0.9740114414602802,False,Unlock fee:Local MaaS only
type_unit_fe_scooter_only,ols_cluster,unit_fe,log_trip_count_day,local_only:competition_z,-2.005044236272603,0.8194262301288514,0.014409559534229587,-3.611090135312582,-0.39899833723262423,11149,75,30,0.9740114414602802,True,Local MaaS only:Competition
type_unit_fe_scooter_only,ols_cluster,unit_fe,log_trip_count_day,unlock_fee_z:local_only:competition_z,1.5591435706119685,0.5797441906053298,0.007158815719332468,0.42286583677919776,2.6954213044447393,11149,75,30,0.9740114414602802,True,Unlock fee:Local MaaS only:Competition
type_unit_fe_scooter_only,ols_cluster,unit_fe,log_trip_count_day,price_per_minute_z:local_only,-0.002842122055229167,0.09210631467353228,0.9753836042251622,-0.18336718156406553,0.17768293745360722,11149,75,30,0.9740114414602802,False,Price/min:Local MaaS only
type_unit_fe_scooter_only,ols_cluster,unit_fe,log_trip_count_day,price_per_minute_z:local_only:competition_z,1.0099931897047512,0.2987813576518645,0.0007238685375229799,0.4243924894551159,1.5955938899543864,11149,75,30,0.9740114414602802,True,Price/min:Local MaaS only:Competition
type_unit_fe_scooter_only,ols_cluster,unit_fe,log_trip_count_day,unlock_fee_z:multi_platform,0.6243451443703693,0.22342859486154126,0.005199879762638773,0.18643314532535737,1.0622571434153811,11149,75,30,0.9740114414602802,True,Unlock fee:Multi-platform
type_unit_fe_scooter_only,ols_cluster,unit_fe,log_trip_count_day,multi_platform:competition_z,-0.36956369081207685,0.11706568903992914,0.0015946061135208287,-0.5990082251557033,-0.14011915646845038,11149,75,30,0.9740114414602802,True,Multi-platform:Competition
type_unit_fe_scooter_only,ols_cluster,unit_fe,log_trip_count_day,unlock_fee_z:multi_platform:competition_z,-1.2512014129475189,0.7184864860405015,0.08160640710435,-2.6594090489656423,0.1570062230706044,11149,75,30,0.9740114414602802,False,Unlock fee:Multi-platform:Competition
type_unit_fe_scooter_only,ols_cluster,unit_fe,log_trip_count_day,price_per_minute_z:multi_platform,0.2859765496251429,0.24287754810707338,0.23901531797497,-0.1900546973181153,0.7620077965684011,11149,75,30,0.9740114414602802,False,Price/min:Multi-platform
type_unit_fe_scooter_only,ols_cluster,unit_fe,log_trip_count_day,price_per_minute_z:multi_platform:competition_z,3.194957679352517,1.2648090774289091,0.011535651302550333,0.7159774402725225,5.673937918432511,11149,75,30,0.9740114414602802,True,Price/min:Multi-platform:Competition
dml_competition_all,dml_hgb,ml_residualized,ur_boxcox,unlock_fee_z_x_platform_any_x_competition_z,0.016860709220111854,0.017029147833295618,0.3221209398514564,-0.016515807220555852,0.05023722566077956,14514,97,30,0.026491142482804597,False,Unlock fee_x_Any platform_x_Competition
dml_competition_all,dml_hgb,ml_residualized,ur_boxcox,price_per_minute_z_x_platform_any_x_competition_z,-0.02441057866230524,0.02950690288265327,0.40807630202483336,-0.08224304560762676,0.033421888283016274,14514,97,30,0.026491142482804597,False,Price/min_x_Any platform_x_Competition
