model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,moderator,moderator_category,moderator_centrality,platform_family,significant_05,label,estimate,effect_direction
commute_peak_share_any_platform_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,commute_peak_trip_share_z:platform_any,0.0004635491682479974,0.0025837351709312503,0.8576154027318199,-0.004600478712366693,0.005527577048862689,14514,97,30,0.9018996113016629,0.9001451156418174,all,platform_feature_moderation,commute_peak_share,process_usage_context,medium,any_platform,False,commute_peak_trip_share_z:Any platform,0.000,positive
commute_peak_share_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,commute_peak_trip_share_z:large_aggregator_only,-0.005452065854862453,0.004170779826965825,0.1911429667100898,-0.01362664410316167,0.002722512393436763,14514,97,30,0.7703546883842326,0.7671132410397853,all,platform_feature_moderation,commute_peak_share,process_usage_context,medium,platform_types,False,commute_peak_trip_share_z:FreeNow only,-0.005,negative
commute_peak_share_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,commute_peak_trip_share_z:local_maas_only,0.010781049884039495,0.005127134262164075,0.03548816933198836,0.0007320513862965634,0.02083004838178243,14514,97,30,0.7703546883842326,0.7671132410397853,all,platform_feature_moderation,commute_peak_share,process_usage_context,medium,platform_types,True,commute_peak_trip_share_z:Local MaaS only,0.011*,positive
commute_peak_share_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,commute_peak_trip_share_z:multi_platform,-0.007322377546576545,0.003919580300904003,0.06174068209026248,-0.015004613770861059,0.0003598586777079681,14514,97,30,0.7703546883842326,0.7671132410397853,all,platform_feature_moderation,commute_peak_share,process_usage_context,medium,platform_types,False,commute_peak_trip_share_z:Multi-platform,-0.007+,negative
commute_peak_share_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,commute_peak_trip_share_z:large_aggregator_only,-0.001911769881443771,0.0025680796043777696,0.4566129883117932,-0.00694511341545607,0.0031215736525685277,14514,97,30,0.9024443005409352,0.9006716804932364,all,platform_feature_moderation,commute_peak_share,process_usage_context,medium,platform_types,False,commute_peak_trip_share_z:FreeNow only,-0.002,negative
commute_peak_share_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,commute_peak_trip_share_z:local_maas_only,0.00903005200885114,0.004425119468295744,0.041287157826633024,0.0003569772237044487,0.017703126793997832,14514,97,30,0.9024443005409352,0.9006716804932364,all,platform_feature_moderation,commute_peak_share,process_usage_context,medium,platform_types,True,commute_peak_trip_share_z:Local MaaS only,0.009*,positive
commute_peak_share_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,commute_peak_trip_share_z:multi_platform,-0.004286498204856926,0.0028547350973954794,0.13321601527571028,-0.00988167618115451,0.001308679771440657,14514,97,30,0.9024443005409352,0.9006716804932364,all,platform_feature_moderation,commute_peak_share,process_usage_context,medium,platform_types,False,commute_peak_trip_share_z:Multi-platform,-0.004,negative
night_trip_share_any_platform_market_fe_all,ols_cluster,market_fe,ur_boxcox,night_trip_share_z:platform_any,-0.002045488293714883,0.004010959509414921,0.6100691131095466,-0.009906824475616572,0.005815847888186807,14514,97,30,0.7619787857781171,0.758686560810186,all,platform_feature_moderation,night_trip_share,process_usage_context,medium,any_platform,False,night_trip_share_z:Any platform,-0.002,negative
night_trip_share_any_platform_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,night_trip_share_z:platform_any,-0.0033126419845675506,0.0028438351553150758,0.2440796296399197,-0.00888645646695397,0.002261172497818869,14514,97,30,0.904379670275189,0.902669529716918,all,platform_feature_moderation,night_trip_share,process_usage_context,medium,any_platform,False,night_trip_share_z:Any platform,-0.003,negative
night_trip_share_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,night_trip_share_z:large_aggregator_only,0.005291531194799948,0.0040520994248360665,0.19159541719253592,-0.0026504377396542106,0.013233500129254106,14514,97,30,0.7746040058239623,0.7714225376649546,all,platform_feature_moderation,night_trip_share,process_usage_context,medium,platform_types,False,night_trip_share_z:FreeNow only,0.005,positive
night_trip_share_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,night_trip_share_z:local_maas_only,-0.018536309935748334,0.005647212987540831,0.0010293407782312127,-0.029604644004355203,-0.0074679758671414645,14514,97,30,0.7746040058239623,0.7714225376649546,all,platform_feature_moderation,night_trip_share,process_usage_context,medium,platform_types,True,night_trip_share_z:Local MaaS only,-0.019**,negative
night_trip_share_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,night_trip_share_z:multi_platform,0.003274717880543048,0.004135601731423411,0.4284563720280342,-0.004830912567448326,0.011380348328534422,14514,97,30,0.7746040058239623,0.7714225376649546,all,platform_feature_moderation,night_trip_share,process_usage_context,medium,platform_types,False,night_trip_share_z:Multi-platform,0.003,positive
night_trip_share_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,night_trip_share_z:large_aggregator_only,7.971560053887097e-05,0.0027710749028430365,0.9770503946062633,-0.005351491407496311,0.005510922608574052,14514,97,30,0.9054326478324513,0.9037143270655511,all,platform_feature_moderation,night_trip_share,process_usage_context,medium,platform_types,False,night_trip_share_z:FreeNow only,0.000,positive
night_trip_share_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,night_trip_share_z:local_maas_only,-0.017575924686347603,0.0042868608545624355,4.1323544135834756e-05,-0.025978017568024578,-0.00917383180467063,14514,97,30,0.9054326478324513,0.9037143270655511,all,platform_feature_moderation,night_trip_share,process_usage_context,medium,platform_types,True,night_trip_share_z:Local MaaS only,-0.018***,negative
night_trip_share_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,night_trip_share_z:multi_platform,0.0006709433632336123,0.003210822056990428,0.8344770366726806,-0.005622152229234439,0.006964038955701664,14514,97,30,0.9054326478324513,0.9037143270655511,all,platform_feature_moderation,night_trip_share,process_usage_context,medium,platform_types,False,night_trip_share_z:Multi-platform,0.001,positive
reservation_available_any_platform_market_fe_all,ols_cluster,market_fe,ur_boxcox,reservation_available_external:platform_any,0.0870965563886372,3693.029787881752,0.9999811826598682,-7238.11828152544,7238.292474638218,14514,97,30,0.7574356064293226,0.7540977197617182,all,platform_feature_moderation,reservation_available,process_product,medium,any_platform,False,reservation_available_external:Any platform,0.087,positive
