model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,dropped_city,significant_05,label,estimate,effect_direction
city_sensitivity_unlock_fee_ge_1_00_unit_fe_drop_bonn,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform,-0.08523052812049522,0.008131323617188966,1.0478290000907717e-25,-0.10116762955682555,-0.0692934266841649,13911,93,29,0.9004813116294247,0.8986451196928757,drop_bonn,leave_one_platform_city,BONN,True,unlock_fee_ge_1_00:Multi-platform,-0.085***,negative
city_sensitivity_unlock_fee_ge_1_20_market_fe_drop_bonn,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:local_maas_only,-0.2370363713898408,0.04065645000501635,5.535170902658591e-09,-0.31672154913892614,-0.15735119364075545,13911,93,29,0.7800842722972182,0.7769087097180795,drop_bonn,leave_one_platform_city,BONN,True,unlock_fee_ge_1_20:Local MaaS only,-0.237***,negative
city_sensitivity_unlock_fee_ge_1_20_market_fe_drop_bonn,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:multi_platform,-0.1553271386811656,0.04028097469874172,0.00011521420711183273,-0.2342763983528685,-0.07637787900946268,13911,93,29,0.7800842722972182,0.7769087097180795,drop_bonn,leave_one_platform_city,BONN,True,unlock_fee_ge_1_20:Multi-platform,-0.155***,negative
city_sensitivity_unlock_fee_ge_1_20_unit_fe_drop_bonn,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:local_maas_only,-0.03796596084537551,0.011696575773867863,0.0011707835657139144,-0.06089082810460024,-0.01504109358615079,13911,93,29,0.9004132434018388,0.8985757955571517,drop_bonn,leave_one_platform_city,BONN,True,unlock_fee_ge_1_20:Local MaaS only,-0.038**,negative
city_sensitivity_unlock_fee_ge_1_20_unit_fe_drop_bonn,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:multi_platform,-0.07353791469875469,0.011522004234822556,1.7434623677120517e-10,-0.09612062802872488,-0.050955201368784495,13911,93,29,0.9004132434018388,0.8985757955571517,drop_bonn,leave_one_platform_city,BONN,True,unlock_fee_ge_1_20:Multi-platform,-0.074***,negative
city_sensitivity_unlock_fee_ge_0_99_market_fe_drop_cologne,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_0_99:local_maas_only,-0.2248253553741517,0.03989600674439874,1.7476939236041085e-08,-0.3030200917201403,-0.14663061902816305,13911,93,29,0.7780352215093511,0.7748300708281122,drop_cologne,leave_one_platform_city,COLOGNE,True,unlock_fee_ge_0_99:Local MaaS only,-0.225***,negative
city_sensitivity_unlock_fee_ge_0_99_market_fe_drop_cologne,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_0_99:multi_platform,-0.053446880033585574,0.03624410237220595,0.14031026843727776,-0.12448401533509196,0.017590255267920817,13911,93,29,0.7780352215093511,0.7748300708281122,drop_cologne,leave_one_platform_city,COLOGNE,False,unlock_fee_ge_0_99:Multi-platform,-0.053,negative
city_sensitivity_unlock_fee_ge_0_99_unit_fe_drop_cologne,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_0_99:local_maas_only,-0.042986514162555896,0.01222302329234565,0.0004367038988508298,-0.06694319959774757,-0.019029828727364223,13911,93,29,0.8904053106417152,0.8883832091833548,drop_cologne,leave_one_platform_city,COLOGNE,True,unlock_fee_ge_0_99:Local MaaS only,-0.043***,negative
city_sensitivity_unlock_fee_ge_0_99_unit_fe_drop_cologne,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_0_99:multi_platform,-0.08547401221601124,0.00958762110217834,4.876463610687433e-19,-0.104265404273697,-0.06668262015832548,13911,93,29,0.8904053106417152,0.8883832091833548,drop_cologne,leave_one_platform_city,COLOGNE,True,unlock_fee_ge_0_99:Multi-platform,-0.085***,negative
city_sensitivity_unlock_fee_ge_1_00_market_fe_drop_cologne,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only,-0.2158840232770505,0.038631131103097,2.2924608620369894e-08,-0.29159964892116574,-0.1401683976329353,13911,93,29,0.7729784124839403,0.7697002419524219,drop_cologne,leave_one_platform_city,COLOGNE,True,unlock_fee_ge_1_00:Local MaaS only,-0.216***,negative
